Наименование,Белки,Жиры,Углеводы,Ккал
Котлеты гречневые Мистраль,12.0,3.0,58.0,310
Actimel Вишня,2.9,1.5,11.5,74
Actimel Гранат,2.7,1.5,11.5,73
Actimel Земляника и шиповник,2.7,1.5,11.5,73
Actimel Клубника,2.7,1.5,11.5,72
Actimel Малина и клюква,2.7,1.5,11.5,72
Actimel Мультифрукт,2.7,1.5,12.0,75
Actimel Натуральный,2.8,1.6,10.5,71
Actimel Черника и ежевика,2.9,1.5,11.5,74
Exponenta High-Pro Черника-Алоэ,12.0,0.0,2.5,60
Колбаса вареная Вязанка классическая,11.0,13.0,0.0,161
Колбаса вареная диетическая,12.1,13.5,0.0,170
Колбаса вареная докторская,12.8,22.2,1.5,257
Колбаса вареная Клинский телячья,13.0,22.0,0.0,252
Колбаса вареная куриная,15.5,16.2,2.3,223
Колбаса вареная любительская,12.2,28.0,0.1,301
Колбаса вареная молочная,11.7,22.8,0.2,252
Колбаса вареная мортаделла,16.4,25.3,3.1,331
Котлеты нутовые Вкусное дело,20.8,1.8,49.7,288
Котлеты нутовые Мистраль,12.0,12.0,53.0,360
Котлеты чечевичные Вкусное дело,19.2,2.2,54.8,307
Крупа Увелка Дружба рис и пшено,8.0,1.0,77.0,350
Кукурузная крупа,8.3,1.2,75.0,337
Кукурузная крупа Makfa,8.3,1.2,71.0,328
Кукурузная крупа Makfa в пакетиках,8.3,1.2,71.0,328
Кукурузная манка Гарнец безглютеновая,23.0,1.6,50.8,314
Fruttis Сливочное лакомство Клубника-Земляника,2.2,5.0,17.0,122
Neo Имунеле Natural,1.8,0.9,11.8,63
Neo Имунеле Гранат-Вишня,2.5,1.2,12.4,70
Neo Имунеле Клюква-Малина,2.5,1.2,12.6,71
Neo Имунеле Лесные ягоды,2.5,1.2,13.1,73
Абрикос,0.9,0.1,9.0,44
Абрикос консервированный,0.4,0.1,15.5,67
Абрикосовая косточка,14.0,27.7,56.3,440
Колбаса вареная московская,11.5,21.8,2.0,250
Колбаса вареная русская,11.8,28.9,0.0,302
Колбаса вареная свиная,10.8,25.8,0.5,277
Колбаса вареная столичная,15.1,28.7,0.0,319
Колбаса вареная столовая,11.1,20.2,1.9,234
Колбаса вареная чайная,11.7,18.4,1.9,216
Колбаса варено-копченая Востряково из курицы,19.0,11.0,0.0,179
Колбаса варено-копченая куриная жареная,19.7,17.4,1.7,371
Кукурузные хлопья,6.9,2.5,83.6,363
Кукурузные хлопья 365 дней,7.5,1.5,78.0,360
Кукурузные хлопья Алтайская сказка,8.3,1.2,75.0,325
Кукурузные хлопья На здоровье Кунцево,6.5,1.0,89.0,390
Кус-кус приготовленный,3.8,0.2,21.8,112
Кус-кус сухой,12.8,0.6,72.4,376
Кускус Агро-Альянс,12.0,2.5,75.0,370
Кускус Готово! с томатами,13.0,1.6,73.0,350
Абрикосовый компот,0.5,0.0,21.0,85
Абрикосовый сок,0.9,0.1,9.0,38
Абсент,0.0,0.0,8.8,171
Авокадо,2.0,20.0,6.0,212
Агар пищевой,4.0,0.0,76.0,301
Аджика,1.0,3.7,5.8,59
Ажгон,19.7,14.5,11.9,333
Азу,11.9,14.2,10.2,214
Колбаса варено-копченая любительская,17.2,39.0,0.2,420
Колбаса варено-копченая московская,19.1,36.6,0.2,406
Колбаса варено-копченая Рублёвский Балыковая,12.0,25.0,0.0,270
Колбаса варено-копченая сервелат,16.1,40.1,0.0,425
Колбаса варено-копченая сервелат боярский,14.0,21.0,0.0,269
Колбаса варено-копченая сервелат Велком финский,15.0,25.5,0.0,290
Колбаса варено-копченая сервелат Вязанка Столичный,15.0,27.0,0.0,303
Колбаса варено-копченая сервелат Дымов в вакууме,14.0,24.0,0.0,272
Колбаса варено-копченая сервелат Дымов Ореховый,13.0,38.0,0.0,394
Жир бараний топлёный,0.0,99.7,0.0,897
Actimel Вишня,2.9,1.5,11.5,74
Льняная каша Лакомства для здоровья с кэробом и кунжутом,17.0,37.0,31.0,500
Льняная каша с кунжутом,34.0,14.0,12.0,312
Льняные отруби Dr. Dias,30.0,10.0,10.0,250
Льняные отруби Dr. Dias с семечкой,30.0,10.0,10.0,250
Манная каша на воде,2.5,0.2,16.8,80
Манная каша на молоке,3.0,3.2,15.3,98
Манная крупа,10.3,1.0,67.4,328
Манная крупа Makfa,10.3,1.0,70.6,333
Айва,0.6,0.5,9.8,40
Айвовый компот,0.4,0.0,20.0,79
Айвовый сок,0.5,0.0,10.6,45
Айран (тан) газированный,1.1,1.5,1.4,24
Айран (тан) из козьего молока,1.1,1.5,1.4,24
Айран (тан) негазированный,1.1,1.5,1.4,24
Айран (тан) негазированный нежирный,1.1,0.2,1.4,12
Айран (тан) с укропом и огурцом,1.1,1.0,1.4,19
Колбаса варено-копченая сервелат Клинский Финский,13.0,32.0,0.0,340
Колбаса варено-копченая сервелат Останкино Зернистый,10.0,37.0,0.0,385
Колбаса варено-копченая сервелат российский,13.0,39.0,1.0,410
Колбаса вегетарианская,21.7,12.3,1.8,207
Колбаса вегетарианская Велком Классическая,4.0,5.0,9.0,100
Колбаса вегетарианская Велком с грибами,4.0,5.0,8.0,90
Колбаса вегетарианская горячего копчения Московская Премиум,20.0,22.0,8.0,210
Колбаса вегетарианская полукопченая Vego с сыром постная,19.0,16.0,12.0,270
Колбаса ливерная,14.4,28.5,2.2,326
Жир говяжий топлёный,0.0,99.7,0.0,897
Жир из печени трески,0.0,99.8,0.0,898
Жир кондитерский для шоколадных изделий,0.0,99.7,0.0,897
Жир кондитерский твердый,0.0,99.8,0.0,898
Жир костный топлёный,0.0,99.7,0.0,897
Жир кулинарный,0.0,99.7,0.0,897
Жир куриный,0.0,99.7,0.0,897
Жир рыбий,0.0,100.0,0.0,902
Actimel Гранат,2.7,1.5,11.5,73
Actimel Земляника и шиповник,2.7,1.5,11.5,73
Actimel Клубника,2.7,1.5,11.5,72
Actimel Малина и клюква,2.7,1.5,11.5,72
Actimel Мультифрукт,2.7,1.5,12.0,75
Actimel Натуральный,2.8,1.6,10.5,71
Actimel Черника и ежевика,2.9,1.5,11.5,74
Exponenta High-Pro Черника-Алоэ,12.0,0.0,2.5,60
Аньолотти,10.0,1.1,71.5,344
Манная крупа Myllyn Paras,12.0,2.0,69.0,348
Манная крупа Агро-Альянс,10.0,1.0,69.0,330
Манная крупа Мистраль Семолина,14.1,1.6,69.7,348
Манная крупа с отрубями БИО Черный хлеб,13.1,4.6,61.5,340
Мюсли AXA хрустящие медовые с фруктами и орехами,7.8,13.1,56.7,376
Мюсли Horeca Select с фруктами и орехами,11.4,7.8,56.7,363
Мюсли Matti Банан и Шоколад,7.0,13.0,62.0,390
Мюсли Matti Ежевика и Малина,7.5,13.0,62.0,390
Айран (тан) сильногазированный,1.1,1.0,1.4,19
Айсинг,2.3,0.0,78.8,305
Аквафаба нутовая,0.4,0.0,0.9,5
Аквафаба сублимированная Гала-Гала,6.1,0.0,14.0,84
Аки,1.0,15.0,8.0,151
Активиа Быстрый завтрак Клубника,4.3,2.8,20.9,127
Активиа Быстрый завтрак Натуральный,4.8,3.1,14.4,107
Активиа Быстрый завтрак с овсянкой Яблоко-Груша,3.6,3.1,16.7,110
Колбаса ливерная Атяшево Печеночная,4.0,16.0,11.0,200
Колбаса ливерная баварская,11.0,18.0,2.0,210
Колбаса ливерная Окраина традиционная,13.0,19.0,6.0,250
Колбаса ливерная Рублёвский яичная,11.0,34.0,4.0,370
Колбаса печеночная домашняя,15.0,22.0,0.0,258
Колбаса полукопченая Вернер Краковская,14.0,45.0,0.0,461
Колбаса полукопченая Дымов салями Финская,10.0,47.0,0.0,463
Колбаса полукопченая закусочная,15.0,33.0,2.3,366
Жир свиной топлёный,0.0,99.6,0.0,896
Маргарин низкокалорийный,0.5,60.0,0.7,545
Маргарин Славянский,0.3,82.0,0.1,743
Маргарин сливочный,0.5,82.0,0.0,745
Маргарин столовый молочный,0.3,82.0,1.0,743
Маргарин столовый Сливочник 40%,0.0,40.0,0.0,360
Маргарин Экстра,0.5,82.0,1.0,744
Масло абрикосовое,0.0,99.9,0.0,899
Fruttis Сливочное лакомство Клубника-Земляника,2.2,5.0,17.0,122
Neo Имунеле Natural,1.8,0.9,11.8,63
Neo Имунеле Гранат-Вишня,2.5,1.2,12.4,70
Neo Имунеле Клюква-Малина,2.5,1.2,12.6,71
Neo Имунеле Лесные ягоды,2.5,1.2,13.1,73
Айран (тан) газированный,1.1,1.5,1.4,24
Айран (тан) из козьего молока,1.1,1.5,1.4,24
Айран (тан) негазированный,1.1,1.5,1.4,24
Айран (тан) негазированный нежирный,1.1,0.2,1.4,12
Баветте,11.0,1.3,70.5,351
Блинчики Ермолино с печенью Мамины,8.0,15.0,33.0,299
Блинчики Морозко сладкие с вишней,3.5,4.5,32.0,180
Блинчики Морозко сладкие с творогом,7.2,6.0,27.4,192
Блинчики Морозко сытные с мясом,7.2,10.7,23.3,218
Блины,6.1,12.3,26.0,233
Блины с ветчиной,8.9,13.5,33.9,292
Блины с ветчиной и сыром,14.3,20.2,35.3,382
Блины с грибами,6.7,9.9,21.0,218
Азу,11.9,14.2,10.2,214
Активиа Кефирная 1%,2.9,1.0,4.5,39
Активиа Кефирная 3%,2.9,3.0,3.6,53
Активиа Момент удовольствия Вишня,4.3,2.7,13.7,97
Активиа Момент удовольствия Земляника,4.3,2.7,12.9,97
Активиа Питьевая Ананас,2.8,2.0,12.2,77
Активиа Питьевая Бифидойогурт Классический 1.5%,3.4,1.5,4.4,45
Активиа Питьевая Вишня и чёрная смородина,2.6,2.0,12.8,81
Активиа Питьевая Злаки,2.8,2.2,12.4,81
Активиа Питьевая Клубника и земляника,2.8,2.2,12.4,81
Колбаса полукопченая краковская,16.2,44.6,0.0,466
Колбаса полукопченая МД Бородина Краковская,16.0,27.0,0.0,307
Колбаса полукопченая минская,17.4,23.0,2.7,287
Колбаса полукопченая одесская,14.8,38.1,0.3,402
Колбаса полукопченая Останкино салями Венская,10.0,37.0,0.0,390
Колбаса полукопченая полтавская,16.4,39.0,0.0,417
Колбаса полукопченая салями любительская,12.0,50.0,0.0,498
Колбаса полукопченая таллиннская,17.1,33.8,0.2,373
Колбаса полукопченая украинская,16.5,34.4,0.0,376
Масло авокадо,0.0,100.0,0.0,884
Масло амаранта,0.0,81.8,0.0,736
Масло арахисовое,0.0,99.9,0.0,899
Масло арахисовое PB2 сухое обезжиренное,37.5,8.3,37.5,375
Масло виноградных косточек,0.0,99.9,0.0,899
Масло горчичное,0.0,99.8,0.0,898
Масло грецкого ореха,0.0,99.8,0.0,898
Масло гхи,0.0,100.0,0.0,902
Масло зародышей пшеницы,0.0,100.0,0.0,884
Айран (тан) с укропом и огурцом,1.1,1.0,1.4,19
Айран (тан) сильногазированный,1.1,1.0,1.4,19
Активиа Быстрый завтрак Клубника,4.3,2.8,20.9,127
Активиа Быстрый завтрак Натуральный,4.8,3.1,14.4,107
Активиа Быстрый завтрак с овсянкой Яблоко-Груша,3.6,3.1,16.7,110
Активиа Кефирная 1%,2.9,1.0,4.5,39
Активиа Кефирная 3%,2.9,3.0,3.6,53
Активиа Момент удовольствия Вишня,4.3,2.7,13.7,97
Блины с красной икрой,12.7,15.2,33.7,324
Блины с маслом,8.0,15.2,40.6,332
Блины с мёдом,7.2,13.5,50.4,350
Блины с сёмгой,11.2,14.9,33.8,313
Блины с сыром,11.4,18.3,34.3,348
Блины со сгущеным молоком,8.1,12.4,41.7,324
Блины со сметаной,7.1,16.3,34.3,311
Бораки,13.7,12.0,30.7,277
Антрекот,27.3,31.2,1.7,396
Антрекот из говядины,29.6,11.2,0.0,220
Антрекот из свинины,28.7,9.8,0.0,210
Бараний окорок,18.0,18.0,0.0,232
Бараний рубец,11.5,4.0,0.0,82
Бараний фарш,17.0,23.0,0.0,282
Бараний язык,12.6,16.1,0.0,195
Баранина,15.6,16.3,0.0,209
Баранина вареная,24.6,21.4,0.0,291
Баранина жареная,20.0,24.0,0.0,320
Активиа Питьевая Малина и злаки,2.8,2.1,11.0,74
Активиа Питьевая Натуральная,3.2,2.4,4.5,52
Активиа Питьевая Тыква банан и корица,2.9,2.1,10.9,74
Активиа Питьевая Чернослив,2.8,2.0,12.8,80
Активиа Питьевая Яблоко и злаки,2.8,2.2,13.0,83
Активиа Семейная Клубника,3.9,3.2,13.6,98
Активиа Семейная Персик,3.9,3.2,13.6,98
Активиа Творожная Клубника,5.0,4.5,15.5,123
Активиа Творожная Малина,4.2,4.5,11.4,102
Активиа Творожная Мюсли,5.0,4.5,15.5,123
Колбаса сыровяленая Дымов салями Милано,21.0,28.0,2.0,344
Колбаса сыровяленая Мясницкий ряд Милано нарезка,15.0,45.0,0.0,465
Колбаса сыровяленая полусухая Casademont Fuet Extra,24.0,32.0,0.0,384
Колбаса сыровяленая полусухая Casademont Fuet Extra с перцем,22.0,32.0,0.0,376
Колбаса сыровяленая полусухая Parlo Italiano Салями Милано,10.0,55.0,0.0,540
Колбаса сыровяленая полусухая Salumi di Bosco Салями традиционная,28.0,19.0,1.0,290
Колбаса сыровяленая полусухая Егорьевская ФКГ с трюфелем,16.0,40.0,1.0,428
Колбаса сыровяленая сальчичон,17.0,31.0,1.1,351
Колбаса сыровяленая суджук,30.3,37.9,0.0,463
Масло иланг-иланга,0.0,99.0,0.0,890
Масло какао,0.0,99.9,0.0,899
Масло канолы,0.0,99.0,0.0,898
Масло кедрового ореха,0.0,99.0,0.0,898
Масло кокосовое,0.0,99.9,0.0,899
Масло кокосовое Nutiva с ароматом сливочного масла,0.0,100.0,0.0,923
Масло кокосовое Tropicana,12.0,87.7,2.9,802
Масло конопляное,0.0,99.9,0.0,899
Масло кукурузное,0.0,99.9,0.0,899
Активиа Момент удовольствия Земляника,4.3,2.7,12.9,97
Активиа Питьевая Ананас,2.8,2.0,12.2,77
Активиа Питьевая Бифидойогурт Классический 1.5%,3.4,1.5,4.4,45
Активиа Питьевая Вишня и чёрная смородина,2.6,2.0,12.8,81
Активиа Питьевая Злаки,2.8,2.2,12.4,81
Активиа Питьевая Клубника и земляника,2.8,2.2,12.4,81
Активиа Питьевая Малина и злаки,2.8,2.1,11.0,74
Активиа Питьевая Натуральная,3.2,2.4,4.5,52
Букатини,12.0,1.2,71.0,350
Вареники от Ильиной с вишней,7.6,0.0,18.7,105
Вареники от Ильиной с картофелем,4.4,3.7,18.5,125
Вареники от Ильиной с клубникой,7.9,0.0,17.6,205
Вареники от Ильиной с творогом,12.0,4.2,17.0,154
Вареники от Ильиной с черникой,7.6,0.0,18.7,105
Вареники Хвалынские с картошкой и грибами,6.0,3.6,32.0,184
Вермишель Lorenzo суповая,10.0,1.0,72.0,340
Вермишель Makfa яичная длинная,11.3,2.1,69.6,342
Баранина тушеная,20.0,20.9,0.0,268
Баранье сердце,13.5,2.5,0.0,82
Бараньи почки,13.6,2.5,0.0,77
Бараньи яйца,13.0,19.0,0.1,230
Баранья лопатка,15.6,25.0,0.0,284
Баранья печень,18.7,2.9,0.0,101
Бастурма турецкая,14.8,20.1,0.0,240
Бекон,23.0,45.0,0.0,500
Активиа Творожная Мюсли и манго,4.8,4.5,14.7,119
Активиа Творожная Натуральная,5.9,4.5,3.7,79
Активиа Творожная Отруби и злаки,4.9,4.3,13.7,113
Активиа Творожная Чернослив,4.7,4.2,14.4,114
Активиа Фреш Арбуз,2.8,1.6,12.3,74
Активиа Фреш Вишня,2.8,1.6,11.0,70
Активиа Фреш Гранат и Малина,2.8,1.6,11.0,70
Активиа Фреш Манго,2.8,1.6,12.0,73
Колбаса сыровяленая Сытный Дом Сопресатта из говядины,18.0,35.0,0.2,402
Колбаса сыровяленая чоризо,24.1,38.3,1.9,455
Колбаса сырокопченая Ближние горки Тоскана,25.0,30.0,0.0,370
Колбаса сырокопченая брауншвейгская,27.7,42.2,0.2,491
Колбаса сырокопченая Доброгост Пепперони,16.0,46.0,0.0,480
Колбаса сырокопченая Дымов Пепперони,15.0,45.0,0.0,465
Колбаса сырокопченая зернистая,9.9,62.8,0.3,606
Колбаса сырокопченая Клинский свиная,11.0,57.3,0.0,568
Колбаса сырокопченая любительская,20.9,47.8,0.0,514
Колбаса сырокопченая московская,24.8,41.5,0.0,473
Масло кунжутное,0.0,99.9,0.0,899
Масло лимонное,0.0,100.0,0.0,900
Масло льняное,0.0,99.8,0.0,898
Масло макадамии,9.2,74.6,10.0,708
Масло маковое,0.0,99.8,0.0,898
Масло миндальное,0.0,90.7,0.0,816
Масло мускатного ореха,0.0,100.0,0.1,899
Масло облепиховое,0.0,99.5,0.0,896
Масло овсяное,0.0,99.0,0.0,890
Активиа Питьевая Тыква банан и корица,2.9,2.1,10.9,74
Активиа Питьевая Чернослив,2.8,2.0,12.8,80
Активиа Питьевая Яблоко и злаки,2.8,2.2,13.0,83
Активиа Семейная Клубника,3.9,3.2,13.6,98
Активиа Семейная Персик,3.9,3.2,13.6,98
Активиа Творожная Клубника,5.0,4.5,15.5,123
Активиа Творожная Малина,4.2,4.5,11.4,102
Активиа Творожная Мюсли,5.0,4.5,15.5,123
Активиа Творожная Мюсли и манго,4.8,4.5,14.7,119
Активиа Творожная Натуральная,5.9,4.5,3.7,79
Вермишель Myllyn Paras,10.4,1.1,71.5,344
Вермишель SanBonsai из чёрного риса,7.3,0.9,78.0,349
Вермишель Бефстроганов соевая,48.9,2.3,8.9,254
Вермишель Роллтон на домашнем бульоне с говядиной,8.7,21.1,56.7,452
Вермишель Роллтон №21,10.4,1.1,71.5,344
Зити,12.0,1.2,71.0,330
Капеллини,13.0,1.5,70.2,346
Клецки,5.0,4.8,25.8,160
Конкильони,10.4,1.1,71.5,344
Бекон Мираторг Любительский,12.0,35.0,0.0,360
Бекон сырокопченый Дымов Венгерский,10.0,44.0,0.0,436
Бефстроганов,21.9,27.4,5.7,355
Бефстроганов из говядины,16.7,11.3,5.9,193
Бефстроганов из курицы,14.7,2.0,0.4,163
Бефстроганов из свинины,19.4,7.1,0.0,142
Бизонье мясо,21.6,1.2,0.0,109
Бифштекс,27.8,29.6,1.7,384
Блюдо армянское Бозбаш 4 сезона,3.0,9.5,4.0,126
Блюдо болгарское Жаркое по-деревенски 4 сезона,3.5,11.1,5.5,137
Активиа Фреш Персик,2.8,1.6,11.0,70
Актуаль на сыворотке вкус арбуза,0.5,0.1,8.6,37
Акула катран,19.9,7.0,0.0,142
Акульи плавники,21.0,4.8,0.0,130
Алыча,0.2,0.0,6.9,27
Амарант,13.6,7.0,69.0,371
Амарантовые отруби Di&Di с гречей,19.0,5.5,55.0,345
Амарантовые отруби Di&Di с ламинарией,20.4,5.1,37.0,311
Амарантовые отруби Di&Di с топинамбуром,19.0,5.5,55.0,345
Американская смесь Hortex,2.4,0.5,5.1,39
Амур белый,18.6,5.3,0.0,134
Колбаса сырокопченая Палермо Егорьевская ФКГ,16.0,42.0,0.0,446
Колбаса сырокопченая полусухая Велком Чикен салями №2,21.0,30.0,0.0,350
Колбаса сырокопченая полусухая Дымов коньячная,18.0,44.0,0.0,468
Колбаса сырокопченая Раменский деликатес Европейская,11.0,49.0,0.0,485
Колбаса сырокопченая Раменский деликатес Куриная деликатесная,16.0,44.0,2.0,470
Колбаса сырокопченая Раменский деликатес Салями Парма,20.0,42.0,0.0,460
Колбаса сырокопченая Раменский деликатес Сицилийская,15.0,48.0,0.0,490
Колбаса сырокопченая Салями Итальянская,11.0,63.0,0.0,631
Колбаса сырокопченая свиная,13.0,57.3,0.2,568
Масло оливковое,0.0,99.8,0.0,898
Масло оливковое Filippo Berio Olive Oil,0.0,91.3,0.0,822
Масло оливковое Monini Classico Extra Vergine,0.0,100.0,0.0,900
Масло ореховое,0.0,100.0,0.0,899
Масло пальмовое,0.0,99.9,0.0,899
Масло подсолнечное,0.0,99.9,0.0,900
Масло рапсово-соевое,0.0,99.9,0.0,899
Масло рапсовое,0.0,99.9,0.0,899
Масло растительное нерафинированное,0.0,99.0,0.0,899
Масло растительное рафинированное,0.0,99.0,0.0,899
Масло расторопши,0.0,98.0,0.0,889
Масло репейное,0.0,100.0,0.0,930
Активиа Творожная Отруби и злаки,4.9,4.3,13.7,113
Активиа Творожная Чернослив,4.7,4.2,14.4,114
Активиа Фреш Арбуз,2.8,1.6,12.3,74
Активиа Фреш Вишня,2.8,1.6,11.0,70
Активиа Фреш Гранат и Малина,2.8,1.6,11.0,70
Активиа Фреш Манго,2.8,1.6,12.0,73
Активиа Фреш Персик,2.8,1.6,11.0,70
Актуаль на сыворотке вкус арбуза,0.5,0.1,8.6,37
Лапша Buitoni La Rasagnole Феттучине,13.5,4.0,69.0,370
Лапша Buitoni Тальятелле Гнезда,13.5,4.0,69.0,370
Лапша Buitoni Феттучине Гнезда,11.5,1.9,71.8,350
Лапша Midori рисовая крупная,0.1,1.2,84.9,330
Лапша SanBonsai гречневая Soba,10.0,0.5,62.0,294
Лапша SanBonsai пшеничная Udon,12.0,1.0,65.0,358
Лапша SanBonsai яичная Egg,9.0,15.0,68.0,440
Лапша SOBA гречневая,14.7,0.9,70.5,348
Лапша ВкусВилл с куркумой,10.4,1.1,71.5,334
Лапша домашняя,12.0,3.7,60.1,322
Лапша Доширак со вкусом говядины,7.0,18.0,63.0,440
Лапша Доширак со вкусом курицы,9.0,19.0,62.0,460
Блюдо греческое Мясо по-македонски 4 сезона,5.8,10.1,22.0,206
Блюдо грузинское Чахохбили с фасолью 4 сезона,6.2,5.5,3.4,87
Блюдо индийское Цыплёнок карри 4 сезона,6.6,3.2,21.0,142
Блюдо испанское Паэлья 4 сезона,8.2,3.0,16.3,129
Блюдо итальянское Пенне карбонара 4 сезона,5.6,11.4,16.4,188
Блюдо итальянское Ризотто с морепродуктами 4 сезона,6.5,6.4,18.8,163
Блюдо китайское Курочка по-пекински 4 сезона,5.6,3.3,11.8,102
Блюдо китайское Свинина в кисло-сладком соусе 4 сезона,4.4,9.4,14.8,153
Масло рисовое Kohinoor Rice Bran Oil,0.0,91.5,0.0,824
Масло рыжиковое,0.0,99.0,0.0,900
Масло сафлоровое,0.0,100.0,0.0,880
Масло сливочное,0.5,82.5,0.8,748
